value,frequency
-7,1
-6,3
-5,6
-4,17
-3,64
-2,278
-1,1804
0,105543
1,46067
2,16654
3,6649
4,2916
5,1461
6,726
7,388
8,236
9,146
10,109
11,73
12,54
13,27
14,31
15,26
16,27
17,14
18,10
19,8
20,15
21,9
22,7
23,7
24,5
25,5
26,5
27,1
28,3
29,3
30,4
31,4
32,5
33,5
34,1
35,1
36,1
37,1
38,4
39,2
40,2
42,5
43,3
45,4
48,2
50,1
54,3
56,1
57,1
60,1
62,2
63,1
65,1
67,2
69,1
72,1
77,1
81,1
82,1
83,2
84,2
85,1
88,1
98,1
101,2
106,1
127,1
143,1
148,1
152,1
190,1
303,1
