value,frequency
1-50,17418
51-100,26292
101-150,26212
151-200,22233
201-250,17857
251-300,13997
301-350,10888
351-400,8509
401-450,6719
451-500,5270
501-550,4378
551-600,3430
601-650,2694
651-700,2291
701-750,1931
751-800,1521
801-850,1280
851-900,1087
901-950,917
951-1000,722
1001+,5058
