value,frequency
0,148335
1,42748
2,13986
3,5286
4,2347
5,1132
6,592
7,358
8,241
9,158
10,109
11,79
12,71
13,73
14,53
15,45
16,29
17,33
18,24
19,16
20,17
21,14
22,17
23,20
24,14
25,9
26,7
27,6
28,6
29,7
30,7
31,5
32,2
33,7
34,3
35,5
36,1
37,5
38,1
40,2
42,2
44,1
45,2
46,1
47,1
48,4
49,3
51,1
53,2
56,1
57,2
58,2
59,1
60,4
62,2
64,3
65,3
67,1
69,2
70,2
71,2
74,1
79,2
81,1
84,1
86,1
87,2
88,1
91,1
93,1
94,2
96,1
100,1
107,2
111,1
116,1
122,1
127,1
146,1
149,2
164,1
228,1
240,1
270,1
432,1
1152,1
