value,frequency
1-50,679
51-100,5541
101-150,13406
151-200,21245
201-250,23613
251-300,22808
301-350,20519
351-400,17875
401-450,15141
451-500,12507
501-550,10384
551-600,8572
601-650,6872
651-700,5669
701-750,4866
751-800,3888
801-850,3293
851-900,2657
901-950,2318
951-1000,1847
1001+,12099
