value,frequency
1-50,6888
51-100,11451
101-150,11961
151-200,10731
201-250,8934
251-300,7434
301-350,6098
351-400,4892
401-450,4073
451-500,3340
501-550,2919
551-600,2373
601-650,1908
651-700,1618
701-750,1292
751-800,1130
801-850,973
851-900,859
901-950,685
951-1000,584
1001+,4621
